timestamp,node_name,ip,network_type,state,latency,fails
2026-02-12 15:15:09.777,node_1_phone,192.168.1.39,wifi,UP,25.017,0
2026-02-12 15:15:15.105,node_1_phone,192.168.1.39,wifi,UP,6.989,0
2026-02-12 15:15:20.732,node_1_phone,192.168.1.39,wifi,UP,90.064,0
2026-02-12 15:16:31.912,node_1_phone,192.168.1.39,wifi,DEGRADED,131.977,0
2026-02-12 15:16:37.505,node_1_phone,192.168.1.39,wifi,DEGRADED,206.965,0
2026-02-12 15:16:43.200,node_1_phone,192.168.1.39,wifi,UP,8.684,0
2026-02-12 15:16:49.069,node_1_phone,192.168.1.39,wifi,DEGRADED,346.877,0
2026-02-12 15:16:54.606,node_1_phone,192.168.1.39,wifi,UP,72.744,0
2026-02-12 15:17:00.342,node_1_phone,192.168.1.39,wifi,DEGRADED,208.169,0
2026-02-12 15:17:06.311,node_1_phone,192.168.1.39,wifi,DEGRADED,442.213,0
2026-02-12 15:17:12.015,node_1_phone,192.168.1.39,wifi,DEGRADED,313.617,0
2026-02-14 19:24:07.623,node_1_phone,192.168.1.39,wifi,DEGRADED,322.269,0
2026-02-14 19:24:12.942,node_1_phone,192.168.1.39,wifi,UP,7.572,0
2026-02-14 19:24:18.374,node_1_phone,192.168.1.39,wifi,UP,66.71,0
2026-02-14 19:24:23.897,node_1_phone,192.168.1.39,wifi,DEGRADED,104.465,0
2026-02-14 19:24:29.428,node_1_phone,192.168.1.39,wifi,DEGRADED,211.678,0
2026-02-14 19:24:34.957,node_1_phone,192.168.1.39,wifi,DEGRADED,102.568,0
2026-02-14 19:24:40.371,node_1_phone,192.168.1.39,wifi,UP,41.951,0
2026-02-14 19:38:15.194,node_1_phone,192.168.1.39,wifi,UP,84.159,0
2026-02-14 19:58:04.609,node_1_phone,192.168.1.39,wifi,UP,7.493,0
2026-02-14 19:58:10.269,node_1_phone,192.168.1.39,wifi,DEGRADED,103.168,0
2026-02-14 19:58:15.779,node_1_phone,192.168.1.39,wifi,UP,6.118,0
2026-02-14 20:03:43.704,node_1_phone,192.168.1.39,wifi,DEGRADED,303.131,0
2026-02-14 20:04:22.137,node_1_phone,192.168.1.39,wifi,UP,69.327,0
2026-02-14 20:04:27.590,node_1_phone,192.168.1.39,wifi,UP,14.194,0
2026-02-14 20:04:33.009,node_1_phone,192.168.1.39,wifi,UP,31.055,0
2026-02-14 20:04:38.535,node_1_phone,192.168.1.39,wifi,DEGRADED,172.987,0
2026-02-14 20:04:44.504,node_1_phone,192.168.1.39,wifi,DEGRADED,416.359,0
2026-02-14 20:04:49.923,node_1_phone,192.168.1.39,wifi,UP,6.884,0
2026-02-14 20:04:55.279,node_1_phone,192.168.1.39,wifi,UP,8.676,0
2026-02-14 20:05:00.785,node_1_phone,192.168.1.39,wifi,DEGRADED,190.912,0
2026-02-14 20:05:06.519,node_1_phone,192.168.1.39,wifi,DEGRADED,235.077,0
2026-02-17 14:03:19.994,node_1_phone,192.168.1.39,wifi,UP,4.756,0
2026-02-17 14:03:25.220,node_1_phone,192.168.1.39,wifi,UP,6.176,0
2026-02-17 14:03:33.162,node_1_phone,192.168.1.39,wifi,UP,7.017,0
2026-02-17 14:03:38.536,node_1_phone,192.168.1.39,wifi,UP,7.677,0
2026-02-17 14:03:44.026,node_1_phone,192.168.1.39,wifi,UP,6.672,0
2026-02-17 14:03:49.498,node_1_phone,192.168.1.39,wifi,UP,8.673,0
2026-02-17 14:03:55.023,node_1_phone,192.168.1.39,wifi,UP,8.659,0
2026-02-17 14:04:00.716,node_1_phone,192.168.1.39,wifi,DEGRADED,171.328,0
2026-02-17 14:20:21.331,node_1_phone,192.168.1.39,wifi,UP,7.368,0
2026-02-17 14:20:26.697,node_1_phone,192.168.1.39,wifi,UP,6.583,0
2026-02-17 14:20:32.447,node_1_phone,192.168.1.39,wifi,DEGRADED,372.456,0
2026-02-17 14:20:38.630,node_1_phone,192.168.1.39,wifi,DEGRADED,100.679,0
2026-02-17 14:29:38.038,node_1_phone,192.168.1.39,wifi,UP,7.879,0
2026-02-17 14:29:43.436,node_1_phone,192.168.1.39,wifi,UP,47.637,0
2026-02-17 14:29:48.962,node_1_phone,192.168.1.39,wifi,DEGRADED,139.431,0
2026-02-17 14:29:54.460,node_1_phone,192.168.1.39,wifi,DEGRADED,114.022,0
2026-02-17 14:30:16.534,node_1_phone,192.168.1.39,wifi,UP,6.716,0
2026-02-17 14:30:21.990,node_1_phone,192.168.1.39,wifi,UP,89.007,0
2026-02-17 14:30:27.394,node_1_phone,192.168.1.39,wifi,DEGRADED,133.428,0
2026-02-17 14:30:33.058,node_1_phone,192.168.1.39,wifi,DEGRADED,283.714,0
2026-02-17 14:30:38.389,node_1_phone,192.168.1.39,wifi,UP,6.211,0
2026-02-19 09:28:32.235,node_1_phone,192.168.1.39,wifi,UP,62.307,0
2026-02-19 09:28:48.852,node_1_phone,192.168.1.39,wifi,UP,93.247,0
2026-02-19 09:29:05.508,node_1_phone,192.168.1.39,wifi,DEGRADED,213.137,0
2026-02-19 09:29:22.623,node_1_phone,192.168.1.39,wifi,UP,93.878,0
2026-02-19 09:29:39.379,node_1_phone,192.168.1.39,wifi,DEGRADED,274.181,0
2026-02-19 09:29:56.187,node_1_phone,192.168.1.39,wifi,DEGRADED,225.574,0
2026-02-19 09:30:13.082,node_1_phone,192.168.1.39,wifi,DEGRADED,325.552,0
2026-02-19 09:30:29.642,node_1_phone,192.168.1.39,wifi,UP,6.428,0
2026-02-19 09:30:46.463,node_1_phone,192.168.1.39,wifi,DEGRADED,322.441,0
2026-02-19 09:32:51.375,node_1_phone,192.168.1.39,wifi,DEGRADED,413.86,0
2026-02-19 12:39:18.228,node_1_phone,192.168.1.39,wifi,DEGRADED,9589.556,0
2026-02-19 12:39:24.488,node_1_phone,192.168.1.39,wifi,UP,46.274,0
2026-02-19 12:39:29.923,node_1_phone,192.168.1.39,wifi,UP,89.213,0
2026-02-19 12:39:35.346,node_1_phone,192.168.1.39,wifi,UP,8.601,0
2026-02-19 12:39:40.963,node_1_phone,192.168.1.39,wifi,DEGRADED,118.529,0
2026-02-19 12:39:46.520,node_1_phone,192.168.1.39,wifi,DEGRADED,133.96,0
2026-02-19 12:39:51.903,node_1_phone,192.168.1.39,wifi,UP,44.29,0
2026-02-19 12:39:57.405,node_1_phone,192.168.1.39,wifi,UP,39.69,0
2026-02-19 12:40:02.859,node_1_phone,192.168.1.39,wifi,DEGRADED,117.406,0
2026-02-19 12:40:08.222,node_1_phone,192.168.1.39,wifi,UP,19.286,0
2026-02-19 12:40:13.769,node_1_phone,192.168.1.39,wifi,DEGRADED,107.41,0
